               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.020623,           0.0083933,           0.0050071,             0.98948,             0.99414,             0.99257,             0.73829,            0.019442,           0.0039844,           0.0010738,            0.003268,            0.003268,            0.003268
                  36,             0.02152,           0.0078465,           0.0046567,             0.98546,             0.98973,             0.99482,             0.82835,            0.016035,           0.0037757,           0.0011531,             0.00307,             0.00307,             0.00307
                  37,            0.020149,           0.0086527,            0.007269,             0.99145,             0.98779,             0.99465,             0.81933,            0.016577,           0.0036982,           0.0012488,            0.002872,            0.002872,            0.002872
                  38,            0.019231,           0.0076193,            0.004409,             0.98102,             0.99732,             0.99482,             0.80877,            0.019169,           0.0038609,          0.00077569,            0.002674,            0.002674,            0.002674
                  39,             0.01782,            0.007718,           0.0031387,             0.98516,             0.99456,               0.995,             0.87338,            0.014766,           0.0032094,          0.00076752,            0.002476,            0.002476,            0.002476
                  40,            0.017899,           0.0079626,           0.0030601,                0.98,                   1,               0.995,             0.85609,            0.014254,           0.0031811,          0.00080157,            0.002278,            0.002278,            0.002278
                  41,            0.018984,           0.0075145,            0.014152,              0.9929,                   1,               0.995,             0.86296,            0.013856,           0.0031646,            0.000715,             0.00208,             0.00208,             0.00208
                  42,            0.016689,           0.0070888,            0.003338,             0.98405,                   1,               0.995,             0.87644,            0.012551,           0.0029453,          0.00080586,            0.001882,            0.001882,            0.001882
                  43,            0.016059,           0.0067562,           0.0031712,             0.99642,                   1,               0.995,               0.902,            0.012163,           0.0028847,          0.00068347,            0.001684,            0.001684,            0.001684
                  44,            0.014641,            0.005941,           0.0035623,             0.99748,                   1,               0.995,             0.90419,            0.011737,           0.0027994,           0.0005691,            0.001486,            0.001486,            0.001486
                  45,            0.015202,           0.0069037,           0.0025399,             0.99612,                   1,               0.995,             0.90274,            0.010745,           0.0027421,          0.00065546,            0.001288,            0.001288,            0.001288
                  46,            0.016718,           0.0080441,           0.0042528,             0.98807,             0.99735,               0.995,             0.89599,            0.010684,           0.0026785,          0.00073576,             0.00109,             0.00109,             0.00109
                  47,             0.01401,           0.0062861,           0.0026264,              0.9903,             0.99784,               0.995,             0.90883,            0.010346,           0.0027104,          0.00064284,            0.000892,            0.000892,            0.000892
                  48,            0.014735,            0.007048,           0.0022228,             0.99097,                   1,               0.995,             0.90661,            0.010102,           0.0027232,          0.00058595,            0.000694,            0.000694,            0.000694
                  49,            0.014544,           0.0069905,           0.0030808,             0.99112,                   1,               0.995,             0.90645,           0.0098221,           0.0027103,          0.00054354,            0.000496,            0.000496,            0.000496
